##########
# 2016-11-22 10:06:19.246391949 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 55
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1942;0.059082;0.163086;1.018555;-12.045802;3.290076;0.061069
1;4166;0.051758;0.163086;1.040527;-13.610687;3.778626;0.068702
2;6041;0.066895;0.158203;1.028320;-15.129771;4.213740;0.106870
3;8365;0.061523;0.155273;1.033691;-16.290076;4.435115;0.122137
4;10264;0.058105;0.161133;1.039062;-16.992366;5.152672;-0.236641
5;12475;0.059082;0.158691;1.039062;-17.465649;5.541985;0.366412
6;14341;0.062988;0.159668;1.042480;-17.312977;5.793893;0.160305
7;16769;0.064941;0.152832;1.040039;-16.938931;6.045802;-0.030534
8;18774;0.061523;0.145996;1.039551;-15.847328;5.946565;-0.267176
9;20909;0.060547;0.141113;1.049805;-14.183206;5.938931;-0.190840
10;22648;0.050781;0.135254;1.060059;-13.007634;5.603053;-0.419847
11;24697;0.050781;0.147461;1.032715;-10.786260;5.251908;-0.595420
12;26429;0.057617;0.141113;1.028809;-9.000000;4.786260;-0.732824
13;28537;0.052734;0.135742;1.042480;-6.381679;4.236641;-0.419847
14;30287;0.044922;0.140625;1.035156;-4.061069;3.435115;-0.595420
15;32379;0.047363;0.139648;1.041992;-1.587786;2.412214;-0.870229
16;34142;0.062012;0.133789;1.030273;0.709924;1.633588;-0.557252
17;36228;0.053711;0.137695;1.029297;3.396947;0.221374;-0.908397
18;38014;0.052734;0.143555;1.041504;5.435115;-0.595420;-0.778626
19;40159;0.043945;0.142578;1.037598;8.076336;-1.824427;-0.961832
20;42176;0.039551;0.134766;1.039062;10.091603;-2.664122;-0.541985
21;43911;0.051270;0.139648;1.024414;12.007634;-3.916031;-0.877863
22;45989;0.051270;0.143555;1.026855;14.022901;-4.885496;-1.030534
23;47723;0.057129;0.144043;1.022461;15.595420;-5.496183;-1.145038
24;49756;0.058594;0.146484;1.025391;16.984733;-6.335878;-0.923664
25;51502;0.053711;0.148926;1.008789;18.305344;-6.938931;-0.564885
26;53521;0.057129;0.145020;1.022461;19.213740;-7.496183;-1.022901
27;55258;0.059082;0.143066;1.008789;19.839695;-7.519084;-0.816794
28;57337;0.050781;0.145508;1.016602;20.389313;-7.992366;-0.725191
29;59091;0.062988;0.148926;1.014648;20.206107;-7.679389;-1.022901
30;61232;0.062012;0.157227;1.011719;20.015267;-7.511450;-0.839695
31;62967;0.048340;0.149414;1.016113;19.572519;-6.984733;-0.938931
32;65046;0.058105;0.154785;1.003906;18.587786;-6.664122;-0.824427
33;66788;0.050781;0.155273;1.001953;17.648855;-6.190840;-0.725191
34;68834;0.058594;0.157715;1.004395;16.145038;-5.488550;-0.839695
35;78818;0.062988;0.157715;1.003418;14.557252;-4.938931;-0.793893
36;89723;0.060059;0.160645;1.006836;-3.335878;2.267176;-0.748092
37;91476;0.054199;0.164551;1.007324;-4.389313;2.297710;-0.725191
38;93594;0.054199;0.155762;0.994141;-5.702290;2.809160;-0.587786
39;95318;0.062012;0.157715;0.994629;-6.213740;3.427481;-0.198473
40;97325;0.060547;0.144531;1.000488;-7.083969;3.709924;-0.458015
41;99092;0.062988;0.147461;1.015137;-7.549618;3.549618;-0.503817
42;101254;0.051758;0.146973;1.006836;-8.152672;3.656489;-0.297710
43;102996;0.054688;0.151367;1.020508;-8.587786;3.633588;-0.488550
44;105031;0.059082;0.152344;0.992676;-8.671756;3.564885;-0.442748
45;106772;0.057617;0.152832;1.014160;-8.465649;3.358779;-0.251908
46;108850;0.062500;0.149902;1.019043;-8.748092;3.435115;-0.374046
47;110672;0.054199;0.144531;1.020020;-8.702290;3.068702;-0.236641
48;112802;0.059082;0.150879;1.011230;-8.511450;2.770992;-0.274809
49;114548;0.059082;0.148438;1.014648;-8.351145;2.450382;-0.328244
50;116571;0.060547;0.155273;1.032227;-7.908397;2.358779;-0.137405
51;118308;0.067871;0.152832;1.019531;-7.694656;2.343511;-0.183206
52;120482;0.058594;0.149414;1.030273;-7.213740;1.969466;0.152672
53;122281;0.064941;0.149414;1.025879;-7.099237;1.778626;0.099237
54;124316;0.060547;0.146484;1.040527;-6.656489;1.793893;-0.221374
55;126056;0.057129;0.154297;1.021484;-6.083969;1.763359;-0.274809
56;128069;0.062988;0.149414;1.033203;-5.900763;1.458015;-0.099237
57;129827;0.060547;0.148926;1.034180;-5.404580;1.358779;-0.122137
58;131916;0.062988;0.150391;1.015137;-4.832061;1.458015;-0.213740
59;133654;0.062500;0.143066;1.020020;-4.290076;1.625954;-0.167939
60;135667;0.062500;0.144531;1.031738;-3.656489;1.251908;-0.381679
61;137408;0.065918;0.145020;1.019043;-2.938931;1.190840;-0.419847
62;139736;0.055664;0.144043;1.033691;-2.328244;1.244275;-0.603053
63;141673;0.064941;0.148926;1.041992;-1.534351;1.282443;-0.167939
64;143894;0.046875;0.144043;1.034668;-1.022901;1.152672;-0.541985
65;145870;0.059570;0.143066;1.025879;-0.198473;0.778626;-0.732824
66;148406;0.054688;0.147949;1.024414;0.740458;0.412214;-0.595420
67;150409;0.053711;0.149414;1.033203;1.343511;0.442748;-0.786260
68;152760;0.051270;0.152344;1.042969;2.007634;0.030534;-0.694656
69;154613;0.056152;0.144043;1.014648;2.671756;-0.236641;-0.656489
70;156809;0.048340;0.140137;1.027344;3.496183;-0.343511;-0.809160
71;158794;0.052734;0.145996;1.022461;4.122137;-0.427481;-0.702290
72;161042;0.056641;0.138184;1.029785;4.603053;-0.824427;-1.015267
73;162913;0.054688;0.148438;1.018066;5.320611;-1.022901;-0.923664
74;165090;0.051270;0.148926;1.023926;6.038168;-1.122137;-0.549618
75;166972;0.047363;0.153809;1.036133;6.312977;-1.587786;-0.984733
76;169188;0.048828;0.155273;1.028320;6.664122;-1.671756;-0.885496
77;171246;0.045898;0.150879;1.014160;6.679389;-1.954198;-0.832061
78;173568;0.050293;0.153809;1.017578;6.763359;-2.519084;-0.702290
79;175459;0.055664;0.151367;1.026855;6.656489;-2.328244;-0.557252
80;177690;0.055176;0.153809;1.013184;7.145038;-2.519084;-0.839695
81;179570;0.062988;0.145508;1.011719;6.671756;-2.282443;-0.709924
82;181828;0.059570;0.147949;1.011230;6.770992;-2.320611;-0.580153
83;183576;0.051758;0.153320;1.010254;6.671756;-2.068702;-0.656489
84;185621;0.051270;0.149902;1.007324;6.534351;-2.038168;-0.648855
85;187365;0.052734;0.153320;1.011719;6.114504;-1.961832;-0.351145
86;189386;0.056152;0.155762;1.015625;5.572519;-1.480916;-0.557252
87;191120;0.056152;0.157227;1.021484;5.229008;-1.442748;-0.580153
88;193266;0.058105;0.156250;1.003906;4.786260;-1.183206;-0.748092
89;195006;0.055664;0.157715;1.020020;4.083969;-1.251908;-0.648855
90;198482;0.051758;0.158203;1.013184;3.229008;-0.824427;-0.618321
91;200243;0.062988;0.152832;1.017578;2.755725;-0.458015;-0.404580
92;202568;0.055176;0.157227;1.013184;1.618321;-0.320611;-0.549618
93;204288;0.058105;0.162109;1.023926;1.175573;-0.320611;-0.793893
94;206475;0.060547;0.158203;1.008789;0.564885;0.190840;-0.618321
95;208195;0.053223;0.162598;1.017090;0.152672;0.206107;-0.435115
96;210271;0.057617;0.156250;1.030762;-0.412214;0.610687;-0.480916
97;212016;0.059082;0.152832;1.013184;-0.908397;0.549618;-0.442748
98;214159;0.059082;0.150879;1.008301;-1.183206;0.648855;-0.442748
99;215902;0.054199;0.149414;1.021973;-1.496183;0.656489;-0.702290
100;217919;0.058594;0.151367;1.020508;-1.893130;0.931298;-0.427481
101;219669;0.057129;0.148926;1.013184;-1.931298;1.061069;-0.496183
102;221766;0.062012;0.156250;1.015625;-2.450382;0.862595;-0.320611
103;223513;0.051270;0.150879;1.024902;-2.679389;1.099237;-0.603053
104;225549;0.056152;0.147949;1.029297;-2.854962;1.389313;-0.435115
105;227288;0.061523;0.155273;1.015137;-3.183206;1.274809;-0.511450
106;237610;0.051758;0.145020;1.022461;-3.320611;1.015267;-0.435115
107;248842;0.057617;0.147949;1.028320;-1.519084;0.984733;-0.519084
108;251046;0.057617;0.145508;1.021484;-0.702290;0.702290;-0.610687
109;252782;0.063965;0.148926;1.024414;-0.603053;0.374046;-0.656489
110;254856;0.066406;0.143555;1.017578;-0.129771;0.427481;-0.671756
111;256613;0.058594;0.148926;1.026367;0.458015;0.251908;-0.549618
112;258769;0.055176;0.145996;1.013184;0.801527;0.091603;-0.625954
113;260516;0.050293;0.137207;1.018555;1.404580;0.007634;-0.549618
114;262535;0.057617;0.154297;1.010254;1.633588;-0.129771;-0.618321
115;264265;0.055176;0.145996;1.022949;1.641221;-0.007634;-0.625954
116;266335;0.046875;0.151367;1.018555;1.961832;-0.595420;-0.809160
117;268084;0.049316;0.152832;1.017090;2.106870;-0.618321;-0.770992
118;270237;0.056641;0.150879;1.022949;2.198473;-0.641221;-0.572519
119;271962;0.056641;0.147949;1.030762;2.152672;-0.809160;-0.648855
120;274024;0.055664;0.150879;1.022949;2.312977;-0.610687;-0.465649
121;275761;0.060547;0.151367;1.025879;2.427481;-0.755725;-0.564885
122;277816;0.057129;0.152344;1.028320;2.473282;-0.732824;-0.488550
123;279629;0.055664;0.146973;1.014648;2.503817;-0.763359;-0.503817
124;281786;0.066895;0.145996;1.025391;2.694656;-0.687023;-0.366412
125;283524;0.054199;0.154297;1.033203;2.496183;-0.541985;-0.633588
126;285650;0.055176;0.149902;1.022461;2.519084;-0.610687;-0.480916
127;287383;0.062012;0.150391;1.009277;2.419847;-0.526718;-0.801527
128;289463;0.058594;0.156250;1.016113;2.519084;-0.511450;-0.694656
129;291197;0.049805;0.156250;1.016602;2.137405;-0.335878;-0.549618
130;293214;0.058105;0.145508;1.022949;2.450382;-0.290076;-0.770992
131;294941;0.049805;0.153320;1.017090;2.328244;-0.580153;-0.541985
132;296995;0.056641;0.156250;1.006348;2.221374;-0.198473;-0.625954
133;298829;0.056152;0.155273;1.027344;2.198473;-0.206107;-0.664122
134;300997;0.051270;0.150391;1.016602;2.366412;-0.190840;-0.572519
135;302833;0.053711;0.152832;1.014160;2.450382;-0.274809;-0.671756
136;305062;0.059570;0.161133;1.021973;2.297710;-0.038168;-0.763359
137;306946;0.058105;0.155762;1.019531;2.167939;-0.183206;-0.320611
138;309202;0.056152;0.149414;1.026367;2.534351;-0.305344;-0.480916
139;311063;0.049805;0.157227;1.015137;2.328244;-0.229008;-0.709924
140;313295;0.046875;0.158203;1.020508;2.274809;-0.458015;-0.755725
141;315194;0.051758;0.154297;1.004883;1.908397;-0.351145;-0.465649
142;317583;0.053223;0.155762;1.016602;1.977099;-0.374046;-0.664122
143;319436;0.067383;0.145508;1.015625;1.908397;-0.206107;-0.702290
144;321644;0.064941;0.158203;1.017578;1.717557;-0.297710;-0.717557
145;323497;0.056152;0.156250;1.011230;1.435115;-0.305344;-0.442748
146;325655;0.048828;0.158691;1.017090;1.427481;-0.282443;-0.801527
147;327560;0.053711;0.151367;1.025879;1.038168;-0.229008;-0.412214
148;329777;0.061035;0.156250;1.019531;0.847328;-0.251908;-0.404580
149;331679;0.062500;0.146484;1.017090;0.694656;-0.083969;-0.519084
150;333866;0.054199;0.149414;1.022949;0.687023;0.007634;-0.717557
151;335740;0.068848;0.143066;1.021484;0.793893;0.183206;-0.564885
152;337973;0.059570;0.151367;1.024902;0.664122;0.221374;-0.358779
153;339753;0.046875;0.157227;1.009766;0.290076;0.320611;-0.709924
154;341830;0.050781;0.154785;1.015137;0.488550;0.068702;-0.427481
155;343566;0.057617;0.150879;1.017578;0.290076;0.404580;-0.564885
156;345587;0.054199;0.156250;1.016113;0.053435;0.618321;-0.656489
157;347326;0.061035;0.145020;1.011230;-0.106870;0.824427;-0.641221
