##########
# 2016-11-22 10:03:27.747928067 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 43
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1974;0.063965;0.167969;1.016602;0.549618;-0.083969;-0.450382
1;3722;0.059570;0.164551;1.024414;0.259542;0.099237;-0.572519
2;5821;0.066406;0.167480;1.010254;0.045802;0.167939;-0.595420
3;7561;0.066406;0.177246;1.012207;0.274809;0.229008;-0.412214
4;9690;0.063965;0.175293;1.022949;0.671756;0.160305;-0.625954
5;11538;0.059570;0.169434;1.021484;0.564885;0.129771;-0.549618
6;13621;0.056641;0.173828;1.008789;0.412214;0.091603;-0.480916
7;15366;0.059082;0.172852;1.017578;0.938931;0.152672;-0.587786
8;17414;0.066895;0.166016;1.028320;0.992366;-0.091603;-0.473282
9;19148;0.062500;0.174805;1.013184;1.114504;-0.083969;-0.610687
10;21481;0.062988;0.167969;1.016602;1.274809;0.000000;-0.580153
11;23233;0.062500;0.172852;1.019531;1.366412;0.183206;-0.496183
12;25259;0.062012;0.168945;1.020508;1.328244;-0.061069;-0.839695
13;26999;0.060059;0.177246;1.016113;1.740458;-0.061069;-0.595420
14;29145;0.065918;0.170410;1.001953;1.473282;-0.251908;-0.725191
15;30889;0.060547;0.180176;1.021973;1.786260;-0.229008;-0.893130
16;32921;0.059570;0.170898;1.026367;1.809160;-0.206107;-0.557252
17;34660;0.069824;0.169434;1.017578;1.778626;-0.297710;-0.633588
18;36669;0.058594;0.174316;1.008301;1.793893;-0.335878;-0.687023
19;38417;0.064941;0.174316;1.023438;2.038168;-0.274809;-0.519084
20;40738;0.056641;0.166504;1.012695;1.961832;-0.541985;-0.511450
21;42494;0.061035;0.175781;1.013184;1.893130;-0.267176;-0.595420
22;44531;0.056641;0.174805;1.019043;1.793893;-0.145038;-0.641221
23;46274;0.067871;0.172363;1.019531;1.633588;-0.427481;-0.526718
24;48385;0.067383;0.172852;1.007812;1.572519;-0.282443;-0.648855
25;50119;0.062012;0.186523;1.025879;1.412214;-0.015267;-0.412214
26;52139;0.053223;0.168945;1.021484;1.053435;-0.137405;-0.572519
27;53884;0.062012;0.175293;1.016113;0.755725;-0.381679;-0.458015
28;55938;0.057129;0.180664;1.004883;0.625954;0.045802;-0.687023
29;57675;0.060059;0.178711;1.020020;0.496183;0.015267;-0.679389
30;59819;0.068848;0.182617;1.028320;0.198473;-0.030534;-0.671756
31;61558;0.058105;0.179199;1.018066;-0.122137;0.137405;-0.480916
32;63687;0.058594;0.171875;1.004395;-0.358779;0.206107;-0.572519
33;66398;0.064453;0.170898;1.014160;-0.320611;0.450382;-0.198473
34;68547;0.058105;0.170410;1.027832;-0.435115;0.496183;-0.595420
35;70288;0.062500;0.178711;1.024902;-0.664122;0.458015;-0.396947
36;72395;0.064453;0.174316;1.028809;-0.778626;0.480916;-0.427481
37;74140;0.064453;0.168945;1.012207;-0.839695;0.816794;-0.427481
38;76181;0.064453;0.177734;1.013184;-0.458015;0.778626;-0.511450
39;77929;0.062988;0.176758;1.014160;-0.480916;0.557252;-0.656489
40;80014;0.063965;0.176270;1.016113;-0.236641;0.526718;-0.625954
41;81756;0.068359;0.165527;1.017578;-0.465649;0.488550;-0.519084
42;83783;0.066895;0.164551;1.006348;0.099237;0.694656;-0.603053
43;85523;0.062988;0.171875;1.016113;0.267176;0.526718;-0.618321
44;87940;0.062012;0.168945;1.019043;0.183206;0.763359;-0.816794
45;89676;0.062500;0.174805;1.012695;0.625954;0.488550;-1.000000
46;91754;0.070312;0.177246;1.026855;0.885496;0.526718;-0.732824
47;93498;0.063965;0.166504;1.017090;0.877863;0.320611;-0.374046
48;95638;0.062988;0.172852;1.015625;1.320611;-0.022901;-0.633588
49;97398;0.064453;0.175781;1.023926;1.160305;-0.099237;-0.511450
50;99518;0.064941;0.174316;1.010254;1.427481;-0.267176;-0.664122
51;101347;0.062500;0.177734;1.024902;1.404580;-0.160305;-0.427481
52;103489;0.059082;0.175781;1.003906;1.519084;-0.274809;-0.702290
53;105229;0.060059;0.168457;1.010254;1.580153;-0.404580;-0.564885
54;107339;0.065918;0.181641;1.022949;1.709924;-0.664122;-0.419847
55;109070;0.062012;0.174316;1.020508;1.351145;-0.564885;-0.473282
56;111130;0.058105;0.177246;1.016113;1.931298;-0.496183;-0.534351
57;112930;0.064453;0.175293;1.016113;1.740458;-0.442748;-0.694656
58;114952;0.067383;0.179199;1.004883;1.610687;-0.587786;-0.572519
59;116694;0.073730;0.175293;1.019043;1.587786;-0.541985;-0.541985
60;118779;0.053711;0.166504;1.017090;1.381679;-0.267176;-0.274809
61;120516;0.066406;0.173828;1.003906;1.213740;-0.312977;-0.496183
62;122642;0.061523;0.177246;1.030273;0.992366;-0.312977;-0.450382
63;124388;0.070801;0.174316;1.016602;1.183206;0.076336;-0.595420
64;126473;0.061035;0.177734;1.022949;1.129771;-0.038168;-0.503817
65;128217;0.064941;0.176270;1.017090;0.961832;-0.015267;-0.648855
66;130233;0.065430;0.182617;1.017578;0.839695;-0.007634;-0.389313
