##########
# 2016-11-21 12:02:29.814978058 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 10
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 1000 (32.800000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1931;-0.037598;0.021484;-0.988770;0.884146;-0.243902;-0.670732
1;4241;-0.041016;0.018066;-0.998047;0.579268;-0.365854;-0.335366
2;5989;-0.035645;0.010254;-0.990234;0.640244;-0.365854;-0.457317
3;8354;-0.037598;0.022461;-0.996582;0.701220;-0.335366;-0.579268
4;10437;-0.030273;0.016113;-0.988770;0.884146;-0.365854;-0.396341
5;12580;-0.042480;0.022461;-0.993164;0.792683;-0.304878;-0.487805
6;14344;-0.043457;0.011719;-1.000000;0.731707;-0.152439;-0.487805
7;16512;-0.043457;0.016602;-1.005859;1.006098;-0.091463;-0.518293
8;18267;-0.042969;0.003906;-0.991699;0.731707;-0.243902;-0.579268
9;20383;-0.043945;0.016602;-0.984863;0.823171;-0.304878;-0.396341
10;22144;-0.044434;0.016602;-1.001465;0.579268;0.000000;-0.640244
11;24252;-0.057617;0.009277;-0.996094;1.036585;-0.182927;-0.426829
12;26000;-0.043457;0.011230;-0.992188;0.640244;0.030488;-0.823171
13;28270;-0.042480;0.011719;-0.976074;0.914634;-0.121951;-0.609756
14;30017;-0.050293;0.024414;-0.997559;0.701220;-0.213415;-0.701220
15;32260;-0.042969;0.013672;-1.011230;0.823171;-0.060976;-0.548780
16;34031;-0.043457;0.011230;-0.992676;0.823171;-0.030488;-0.609756
17;36172;-0.044434;0.012207;-1.006836;0.640244;0.182927;-0.701220
18;37961;-0.039062;0.019531;-0.991699;0.548780;-0.060976;-0.457317
19;40248;-0.044434;0.018066;-0.982910;0.701220;-0.182927;-0.701220
20;42007;-0.036621;0.020020;-0.993164;0.670732;-0.243902;-0.640244
21;44168;-0.039551;0.014648;-0.992188;0.853659;0.060976;-0.640244
22;45951;-0.042480;0.010742;-0.997559;0.884146;0.091463;-0.457317
23;48295;-0.042969;0.016602;-0.984375;0.762195;-0.152439;-0.579268
24;50049;-0.041504;0.019043;-1.007324;0.609756;0.426829;-0.518293
25;52369;-0.052734;0.021484;-0.994629;0.731707;0.304878;-0.670732
26;54140;-0.040039;0.011230;-0.988770;0.975610;0.182927;-0.579268
27;56242;-0.038574;0.012207;-1.001465;0.853659;0.304878;-0.731707
28;57974;-0.044434;0.016602;-0.991211;0.701220;0.335366;-0.426829
29;60145;-0.041016;0.016113;-0.990234;1.219512;0.274390;-0.335366
30;61947;-0.048340;0.013672;-1.000000;0.884146;0.304878;-0.640244
31;64148;-0.043457;0.016113;-1.003418;1.036585;0.243902;-0.609756
32;65929;-0.046875;0.014160;-1.002441;0.853659;-0.060976;-0.579268
33;68142;-0.038574;0.015625;-1.003418;0.518293;0.000000;-0.548780
34;69998;-0.042480;0.022461;-0.993652;0.731707;0.121951;-0.396341
35;72236;-0.044922;0.018555;-0.988281;0.609756;0.060976;-0.457317
36;74013;-0.043457;0.012207;-1.002441;0.945122;-0.030488;-0.548780
37;76156;-0.041992;0.018066;-0.998047;0.823171;0.213415;-0.640244
38;77977;-0.042969;0.015625;-0.988281;0.792683;0.121951;-0.487805
39;80286;-0.052246;0.018555;-0.987793;0.853659;-0.213415;-0.579268
40;82118;-0.046875;0.019531;-1.000488;0.914634;-0.091463;-0.853659
41;84254;-0.035645;0.014648;-0.995117;1.036585;-0.121951;-0.548780
42;85997;-0.032715;0.018555;-0.993652;0.792683;-0.152439;-0.426829
43;88286;-0.043457;0.023926;-1.005371;0.914634;-0.182927;-0.548780
44;90035;-0.040039;0.023438;-0.991211;0.731707;-0.152439;-0.365854
45;92350;-0.039062;0.020020;-0.981934;0.762195;-0.304878;-0.640244
46;94136;-0.046387;0.015625;-1.004395;0.914634;-0.274390;-0.823171
##########
# 2016-11-21 17:13:11.552175689 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 10
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1838;-0.045410;0.018555;-0.987305;0.740458;-0.519084;-0.564885
1;3623;-0.054199;0.021484;-0.993652;0.816794;-0.595420;-0.671756
2;5701;-0.046387;0.018555;-0.995605;0.839695;-0.404580;-0.709924
3;7432;-0.046875;0.017578;-0.998535;0.740458;-0.572519;-0.381679
4;9540;-0.052246;0.013672;-0.996582;0.557252;-0.725191;-0.534351
5;11287;-0.041992;0.019043;-0.994629;0.725191;-0.251908;-0.564885
6;13322;-0.044434;0.017090;-1.001953;0.832061;-0.435115;-0.664122
7;15048;-0.047852;0.018066;-0.996582;0.809160;-0.641221;-0.610687
8;17040;-0.047852;0.014648;-1.002930;0.763359;-0.358779;-0.618321
9;18771;-0.042969;0.019043;-1.002930;0.885496;-0.328244;-0.572519
10;20990;-0.040039;0.011230;-1.002930;0.778626;-0.221374;-0.694656
11;22727;-0.052734;0.017090;-0.991699;0.763359;-0.259542;-0.534351
12;24797;-0.045410;0.011719;-0.980469;1.030534;-0.229008;-0.419847
13;26525;-0.055176;0.020508;-0.987793;0.977099;-0.229008;-0.465649
14;28636;-0.043457;0.018555;-1.003418;0.595420;-0.244275;-0.557252
15;30379;-0.052734;0.011719;-1.006348;0.603053;-0.122137;-0.656489
16;32396;-0.055176;0.021484;-0.983887;0.984733;-0.091603;-0.687023
17;34122;-0.050293;0.016113;-0.991211;0.916031;0.022901;-0.687023
18;36130;-0.049316;0.019531;-1.000977;1.145038;-0.160305;-0.389313
19;37864;-0.041504;0.014648;-0.997070;0.778626;-0.061069;-0.916031
20;39945;-0.053223;0.018555;-0.995605;0.687023;-0.053435;-0.702290
21;41682;-0.051758;0.019043;-0.990234;0.793893;0.343511;-0.473282
22;43701;-0.052246;0.012695;-1.001953;0.885496;0.366412;-0.511450
23;45435;-0.048340;0.017090;-0.995605;0.969466;0.015267;-0.458015
24;47522;-0.048340;0.016113;-1.010254;0.809160;-0.229008;-0.625954
25;49252;-0.056152;0.020020;-0.987305;0.572519;0.412214;-0.709924
26;51361;-0.042480;0.007324;-1.004395;0.748092;-0.251908;-0.595420
27;53101;-0.041504;0.020508;-0.979980;0.923664;-0.022901;-0.709924
28;55181;-0.053711;0.021484;-0.998047;0.870229;0.198473;-0.534351
29;56908;-0.046875;0.016113;-0.992188;0.755725;-0.053435;-0.503817
30;58983;-0.054199;0.021973;-0.996582;0.923664;0.068702;-0.717557
31;60780;-0.044922;0.019043;-0.993652;0.732824;-0.083969;-0.702290
32;62807;-0.050293;0.009766;-0.994141;0.870229;-0.030534;-0.480916
33;64538;-0.047852;0.021484;-0.987793;0.786260;0.068702;-0.618321
34;66605;-0.047852;0.017090;-0.993164;0.801527;-0.007634;-0.381679
35;68337;-0.048828;0.009766;-0.998047;0.656489;0.045802;-0.633588
36;70465;-0.043457;0.023926;-0.987793;0.839695;0.221374;-0.427481
37;72201;-0.048340;0.020508;-0.985352;0.854962;0.099237;-0.755725
38;74221;-0.043945;0.020996;-1.011719;0.770992;-0.145038;-0.580153
39;75953;-0.054688;0.019043;-0.985840;0.862595;0.335878;-0.595420
40;78035;-0.043457;0.019043;-1.003906;0.984733;0.114504;-0.557252
41;79769;-0.049316;0.016602;-1.013184;0.786260;-0.221374;-0.778626
42;81783;-0.053711;0.019043;-0.994629;0.725191;0.061069;-0.381679
43;83515;-0.048828;0.011230;-0.996094;0.755725;0.015267;-0.809160
44;85636;-0.042480;0.021973;-1.008301;1.022901;-0.465649;-0.503817
45;87377;-0.043945;0.007324;-0.999023;0.832061;-0.419847;-0.496183
46;89408;-0.052734;0.010254;-0.991211;0.961832;-0.099237;-0.503817
47;91148;-0.046875;0.017090;-1.000977;1.000000;-0.183206;-0.664122
48;93198;-0.040527;0.023926;-0.991211;0.931298;-0.465649;-0.404580
49;94925;-0.046875;0.019531;-1.007324;0.862595;-0.297710;-0.557252
50;96995;-0.050293;0.007812;-0.984375;0.549618;-0.534351;-0.374046
51;98721;-0.046875;0.014648;-0.995605;0.778626;-0.412214;-0.534351
52;101005;-0.057617;0.016602;-0.992188;0.770992;-0.419847;-0.755725
53;102743;-0.048828;0.026367;-0.995117;0.839695;-0.091603;-0.297710
54;104844;-0.046387;0.020020;-1.000000;0.770992;-0.297710;-0.427481
55;106574;-0.053223;0.021484;-0.987793;0.938931;-0.389313;-0.610687
56;108621;-0.054199;0.012207;-1.011719;0.450382;0.152672;-0.290076
57;110363;-0.046875;0.022461;-0.993652;0.824427;0.007634;-0.587786
58;112404;-0.047852;0.017578;-1.000000;0.801527;-0.061069;-0.557252
59;114743;-0.047852;0.025391;-0.995117;0.870229;0.160305;-0.480916
60;117693;-0.045410;0.008301;-1.002441;0.633588;0.053435;-0.564885
61;119450;-0.047363;0.018555;-0.991211;0.717557;-0.320611;-0.480916
62;121620;-0.057617;0.025879;-0.996094;0.755725;0.114504;-0.572519
63;123360;-0.047363;0.025391;-0.998047;0.900763;-0.175573;-0.450382
64;125458;-0.048340;0.018555;-1.001953;0.694656;-0.114504;-0.587786
65;127189;-0.049805;0.018555;-0.995117;0.412214;0.335878;-0.496183
66;129187;-0.048828;0.013184;-0.994629;0.732824;0.190840;-0.618321
67;130956;-0.043945;0.012207;-0.984863;0.954198;0.251908;-0.725191
68;133095;-0.040527;0.020996;-0.992188;1.030534;-0.007634;-0.374046
69;134829;-0.049316;0.023926;-0.994629;0.618321;0.251908;-0.595420
70;136919;-0.043945;0.016113;-0.991699;0.732824;0.106870;-0.778626
71;138653;-0.048828;0.007812;-1.003906;0.916031;-0.267176;-0.595420
72;140695;-0.049805;0.015625;-0.991211;0.824427;-0.366412;-0.473282
73;142430;-0.043945;0.017090;-0.997070;0.748092;0.030534;-0.450382
74;152426;-0.044434;0.013672;-0.994629;0.961832;-0.267176;-0.381679
75;154947;-0.044434;0.016602;-0.995117;0.732824;-0.213740;-0.458015
76;157376;-0.042480;0.014160;-1.004395;0.832061;-0.145038;-0.595420
77;159288;-0.046875;0.021973;-0.998535;0.862595;-0.083969;-0.442748
78;161661;-0.044434;0.019531;-1.000977;0.778626;-0.274809;-0.458015
79;163504;-0.051758;0.013672;-1.001953;0.786260;-0.221374;-0.702290
80;165756;-0.054688;0.021973;-0.992676;0.671756;-0.206107;-0.458015
81;167567;-0.051758;0.015625;-0.988770;0.946565;-0.236641;-0.351145
82;169648;-0.047852;0.018555;-0.974121;0.862595;-0.122137;-0.511450
