##########
# 2016-11-22 10:03:52.738390235 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 51
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
72;140029;0.049316;0.168457;1.021484;1.358779;-0.633588;-0.603053
73;142055;0.053711;0.172363;1.023926;1.526718;-0.290076;-0.541985
74;143806;0.060547;0.168945;1.018066;1.618321;-0.305344;-0.358779
75;145929;0.052734;0.165039;1.030273;1.641221;-0.145038;-0.427481
76;147672;0.064453;0.165039;1.007324;1.885496;-0.190840;-0.648855
77;149693;0.061035;0.164062;1.028809;1.366412;-0.312977;-0.709924
78;151440;0.063965;0.170898;1.012695;1.412214;-0.129771;-0.541985
79;153559;0.050781;0.168457;1.017090;1.290076;-0.328244;-0.603053
80;155304;0.058594;0.166992;1.024902;1.198473;0.007634;-0.534351
81;157318;0.058594;0.174316;1.018066;0.763359;0.251908;-0.541985
82;159070;0.058105;0.167969;1.018066;0.801527;-0.152672;-0.488550
83;161102;0.055176;0.168457;1.019531;0.648855;-0.137405;-0.473282
84;162846;0.066895;0.171875;1.012207;0.473282;0.053435;-0.374046
85;164981;0.062500;0.170898;1.009277;0.450382;0.244275;-0.618321
86;166756;0.049805;0.167480;1.027832;0.122137;0.122137;-0.625954
87;168796;0.060547;0.153809;1.001953;0.030534;0.183206;-0.526718
88;170550;0.068359;0.168945;1.019043;0.244275;0.083969;-0.847328
89;172654;0.061035;0.169922;1.014160;0.114504;0.229008;-0.786260
90;174396;0.062500;0.168945;1.018066;0.083969;0.351145;-0.603053
91;176525;0.065430;0.160645;1.013184;0.183206;0.312977;-0.496183
92;178266;0.059082;0.165527;1.002441;0.427481;0.396947;-0.557252
93;180620;0.057129;0.169434;1.019043;0.564885;0.274809;-0.664122
94;182364;0.059082;0.167480;1.010254;0.587786;0.206107;-0.671756
95;184602;0.053223;0.166504;1.008789;0.320611;0.297710;-0.633588
96;186341;0.055176;0.165039;1.029785;0.786260;0.198473;-0.709924
97;188354;0.069336;0.162598;1.021973;0.366412;0.007634;-0.427481
98;190111;0.060059;0.162598;1.020508;0.419847;0.160305;-0.229008
99;192223;0.060059;0.162109;1.018555;0.175573;0.045802;-0.625954
100;193963;0.053711;0.166992;1.023926;0.389313;-0.206107;-0.839695
101;196065;0.059570;0.162109;1.016113;0.465649;-0.190840;-0.580153
102;197807;0.054199;0.171875;1.012207;0.374046;0.076336;-0.465649
103;199821;0.059570;0.164062;1.007812;0.267176;0.129771;-0.740458
104;201549;0.056152;0.167480;1.023438;0.503817;0.091603;-0.603053
105;203641;0.062500;0.167480;1.012207;0.488550;0.083969;-0.549618
106;205361;0.065430;0.165039;1.013184;0.656489;0.053435;-0.274809
107;207354;0.059082;0.160156;1.001953;0.770992;-0.198473;-0.526718
108;209094;0.058594;0.159180;1.016602;0.534351;0.038168;-0.679389
109;211326;0.066406;0.157715;1.021973;0.511450;0.083969;-0.534351
110;213069;0.061523;0.156250;1.022461;0.404580;-0.068702;-0.473282
111;215086;0.076660;0.166016;1.020020;0.832061;0.053435;-0.687023
112;216829;0.068359;0.167480;1.021484;0.648855;0.045802;-0.534351
113;218852;0.053711;0.163574;1.008301;0.366412;0.099237;-0.847328
114;220599;0.059570;0.165039;1.011230;0.618321;0.190840;-0.442748
115;222741;0.056152;0.160156;1.028809;0.610687;0.236641;-0.748092
116;224490;0.060547;0.158691;1.017578;0.625954;-0.175573;-0.732824
117;226589;0.058105;0.162109;1.035645;0.664122;-0.061069;-0.687023
