##########
# 2016-12-02 18:31:06.412347034 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 1
# Accelerometer full scale: 2 (16384)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
1;-16710;-0.054688;-0.015625;1.021973;0.656489;-0.145038;-0.832061
2;-14896;-0.057129;-0.017090;1.017578;0.984733;-0.312977;-0.664122
3;-13090;-0.056152;-0.018066;1.025879;0.496183;-0.137405;-0.305344
4;-11302;-0.046387;-0.013672;1.013672;0.770992;0.061069;-0.572519
5;-9463;-0.052734;-0.011230;1.026855;0.786260;0.137405;-0.763359
6;-7657;-0.054688;-0.011230;1.018555;0.839695;-0.061069;-0.480916
7;-5856;-0.058594;-0.024902;1.017090;0.671756;-0.122137;-0.610687
8;-3981;-0.051758;-0.019531;1.029785;0.702290;-0.267176;-0.404580
9;-2114;-0.049805;-0.024414;1.021484;0.717557;-0.229008;-0.419847
10;-250;-0.052734;-0.022949;1.020020;0.519084;-0.366412;-0.740458
======================================================
0;1867;-0.052734;-0.020996;1.030273;0.717557;-0.114504;-0.656489
1;3552;-0.053711;-0.020996;1.035156;0.717557;-0.351145;-0.404580
2;5212;-0.059570;-0.018555;1.020508;0.702290;-0.114504;-0.748092
3;6871;-0.050781;-0.018066;1.013672;0.946565;-0.358779;-0.511450
4;8537;-0.062012;-0.017578;1.023438;0.572519;-0.206107;-0.709924
5;10201;-0.057129;-0.015137;1.031738;0.603053;-0.106870;-0.473282
6;11859;-0.062012;-0.022461;1.022461;0.633588;-0.083969;-0.656489
7;13523;-0.058105;-0.019531;1.032227;0.854962;-0.076336;-0.633588
8;15183;-0.061523;-0.020996;1.025879;0.793893;-0.145038;-0.595420
9;16842;-0.047363;-0.025879;1.018066;0.351145;-0.236641;-0.603053
10;18502;-0.054688;-0.012695;1.029297;0.793893;-0.320611;-0.671756
11;20159;-0.048340;-0.020508;1.026855;0.610687;-0.152672;-0.465649
12;21816;-0.050293;-0.018555;1.020508;0.648855;-0.137405;-0.625954
13;23475;-0.055176;-0.023438;1.025391;0.709924;-0.167939;-0.618321
14;25141;-0.060059;-0.019531;1.012695;0.381679;-0.099237;-0.343511
15;26819;-0.060059;-0.021484;1.027832;0.671756;-0.213740;-0.404580
16;28482;-0.060547;-0.015137;1.029785;0.809160;-0.335878;-0.633588
17;30141;-0.052246;-0.022461;1.026855;0.725191;-0.122137;-0.679389
18;31796;-0.056152;-0.028809;1.010254;0.541985;-0.183206;-0.709924
19;33457;-0.056152;-0.013672;1.014160;0.755725;0.137405;-0.648855
20;35111;-0.055176;-0.024902;1.022949;0.541985;-0.198473;-0.603053
21;36764;-0.049316;-0.018066;1.037598;0.786260;-0.114504;-0.465649
22;38418;-0.054199;-0.019043;1.019531;0.671756;-0.099237;-0.564885
23;40074;-0.046387;-0.027832;1.038086;0.648855;-0.213740;-0.549618
24;41751;-0.049316;-0.029785;1.017090;0.748092;-0.480916;-0.786260
25;43406;-0.054688;-0.023438;1.021973;0.740458;-0.068702;-0.679389
26;45059;-0.049805;-0.027832;1.031738;0.450382;-0.236641;-0.671756
27;46710;-0.052246;-0.027832;1.020508;0.488550;-0.236641;-0.755725
28;48364;-0.056152;-0.028320;1.029785;0.778626;-0.305344;-0.412214
29;50025;-0.052734;-0.024414;1.007812;0.717557;-0.145038;-0.526718
30;51677;-0.052246;-0.019531;1.020508;0.557252;0.038168;-0.618321
31;53343;-0.045410;-0.029785;1.021484;0.732824;-0.290076;-0.625954
32;54996;-0.054199;-0.029297;1.022461;0.633588;-0.335878;-0.320611
33;56648;-0.049316;-0.026855;1.028809;0.763359;-0.396947;-0.557252
34;58307;-0.058594;-0.028320;1.019531;0.618321;-0.229008;-0.885496
35;59969;-0.043945;-0.022949;1.014160;0.633588;-0.175573;-0.595420
36;61625;-0.049316;-0.028320;1.025879;0.557252;-0.305344;-0.343511
37;63309;-0.052246;-0.027344;1.040039;0.419847;-0.229008;-0.641221
38;64968;-0.049805;-0.028320;1.024902;0.564885;-0.267176;-0.648855
39;66635;-0.047363;-0.026855;1.032227;0.587786;-0.206107;-0.633588
40;68298;-0.049805;-0.016113;1.021973;0.687023;-0.137405;-0.809160
41;69957;-0.043945;-0.023438;1.021973;0.786260;-0.175573;-0.610687
42;71614;-0.054199;-0.025391;1.026855;0.625954;-0.167939;-0.557252
43;73274;-0.066406;-0.024902;1.021973;0.786260;-0.099237;-0.770992
44;74935;-0.049805;-0.030273;1.026367;0.770992;-0.244275;-0.580153
45;76595;-0.054688;-0.021973;1.015625;0.648855;-0.122137;-0.343511
46;78253;-0.048340;-0.022949;1.022949;0.893130;-0.015267;-0.671756
47;79917;-0.055664;-0.018066;1.027344;0.587786;-0.343511;-0.870229
48;81592;-0.053711;-0.020020;1.020020;0.572519;-0.053435;-0.389313
49;83255;-0.056152;-0.016602;1.027832;0.748092;-0.328244;-0.290076
50;84915;-0.060547;-0.015625;1.020508;0.778626;-0.351145;-0.625954
51;86573;-0.056152;-0.027344;1.031738;0.702290;0.038168;-0.709924
52;88232;-0.049316;-0.022949;1.008301;0.549618;-0.229008;-0.595420
53;89887;-0.047852;-0.020020;1.028809;0.694656;-0.396947;-0.839695
54;91540;-0.049316;-0.018555;1.026367;0.603053;-0.106870;-0.595420
55;93192;-0.049805;-0.022949;1.031738;0.824427;-0.145038;-0.656489
56;94844;-0.046875;-0.024414;1.018555;0.694656;-0.335878;-0.290076
57;96497;-0.053223;-0.020996;1.014648;0.641221;-0.320611;-0.610687
58;98151;-0.050781;-0.019531;1.015625;0.854962;-0.221374;-0.694656
59;99812;-0.052246;-0.021484;1.024902;0.778626;-0.259542;-0.770992
60;101467;-0.050293;-0.022949;1.027344;0.702290;-0.122137;-0.694656
61;103119;-0.051758;-0.016602;1.016113;0.778626;0.015267;-0.603053
62;104774;-0.048828;-0.024902;1.015137;0.748092;-0.145038;-0.564885
63;106432;-0.047363;-0.020020;1.022949;0.839695;-0.290076;-0.648855
64;108094;-0.052246;-0.022461;1.043945;0.648855;-0.251908;-0.671756
65;109763;-0.049316;-0.024902;1.018555;0.748092;-0.122137;-0.580153
66;111423;-0.051270;-0.020996;1.017578;0.748092;-0.213740;-0.671756
67;113085;-0.053711;-0.026367;1.020020;0.595420;-0.114504;-0.633588
68;114745;-0.055176;-0.021484;1.031738;0.854962;-0.129771;-0.419847
69;116409;-0.050781;-0.021484;1.018066;0.809160;-0.190840;-0.580153
70;118069;-0.047852;-0.013672;1.026855;0.786260;-0.114504;-0.633588
71;119727;-0.060059;-0.019531;1.018066;0.671756;-0.229008;-0.366412
72;121386;-0.054199;-0.014648;1.019531;0.610687;0.160305;-0.587786
