##########
# 2016-11-22 10:03:31.744986217 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 48
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1795;0.061523;0.166504;1.007324;-0.389313;0.770992;-0.541985
1;4174;0.065918;0.174805;1.033691;-0.419847;0.717557;-0.396947
2;5913;0.057617;0.165039;1.011230;-0.526718;0.770992;-0.618321
3;7926;0.061523;0.163086;0.999512;-0.320611;0.618321;-0.603053
4;9666;0.060547;0.172852;1.024902;-0.610687;0.671756;-0.839695
5;11748;0.056641;0.164551;1.025391;-0.793893;0.763359;-0.763359
6;13548;0.062500;0.170898;1.010254;-0.587786;0.656489;-0.564885
7;15682;0.068848;0.171875;1.024902;-0.763359;0.610687;-0.351145
8;17424;0.064453;0.164062;1.022949;-0.862595;0.396947;-0.587786
9;19452;0.062012;0.165039;1.010254;-0.961832;0.465649;-0.557252
10;21186;0.062012;0.172363;1.022949;-0.923664;0.465649;-0.374046
11;23261;0.069824;0.163574;1.024414;-0.709924;0.480916;-0.488550
12;25017;0.057617;0.159668;1.019531;-0.687023;0.259542;-0.503817
13;27050;0.064941;0.169434;1.011719;-0.442748;0.190840;-0.450382
14;28782;0.059082;0.171875;1.008301;-0.328244;0.198473;-0.587786
15;30858;0.055664;0.166992;1.008789;-0.061069;0.488550;-0.702290
16;32605;0.064941;0.171875;1.013672;0.381679;0.335878;-0.328244
17;34653;0.065430;0.175293;1.026855;0.488550;0.328244;-0.832061
18;36392;0.064941;0.174316;1.009766;0.679389;-0.030534;-0.412214
19;38399;0.071289;0.168945;1.018066;1.389313;0.106870;-0.526718
20;40141;0.062988;0.166992;1.021484;1.435115;0.145038;-0.381679
21;42330;0.056152;0.174316;1.021973;2.106870;0.106870;-1.030534
22;44093;0.062012;0.166992;1.013184;2.351145;-0.175573;-0.786260
23;46171;0.060547;0.162598;1.016602;2.206107;0.030534;-0.320611
24;47903;0.054688;0.176270;1.020020;2.267176;-0.099237;-0.519084
25;49978;0.056641;0.169922;1.022461;2.297710;-0.335878;-0.816794
26;51714;0.062012;0.179199;1.024902;2.167939;-0.389313;-0.580153
27;53728;0.064941;0.168457;1.029297;2.366412;-0.625954;-0.709924
28;55618;0.064941;0.170410;1.020508;2.198473;-0.580153;-0.557252
29;57652;0.061523;0.172852;1.024902;2.114504;-0.572519;-0.557252
30;59399;0.062012;0.171875;1.016113;1.984733;-0.740458;-0.854962
31;61483;0.050781;0.177734;1.020020;2.282443;-0.603053;-0.480916
32;63222;0.056152;0.169922;1.013184;2.038168;-0.458015;-0.419847
33;65262;0.062012;0.176758;1.010254;2.297710;-0.496183;-0.625954
34;67003;0.058594;0.174805;1.023926;2.244275;-0.519084;-0.740458
35;69075;0.061523;0.176270;1.018555;1.992366;-0.671756;-0.641221
36;70808;0.066895;0.169922;1.014160;1.977099;-0.274809;-0.580153
37;72814;0.057617;0.175293;1.018555;2.000000;-0.312977;-0.564885
38;74770;0.055176;0.175781;1.014648;1.748092;-0.312977;-0.595420
39;76842;0.062012;0.175781;1.021484;1.824427;-0.496183;-0.755725
40;78565;0.069336;0.176758;1.032227;1.229008;-0.129771;-0.625954
41;80644;0.053223;0.176758;1.016113;1.320611;-0.145038;-0.717557
42;82382;0.062500;0.177734;1.005859;1.267176;-0.007634;-0.595420
43;84531;0.056641;0.174805;1.018066;1.091603;0.076336;-0.458015
44;86275;0.054688;0.173340;1.025879;1.190840;0.183206;-0.557252
45;88407;0.062500;0.168457;1.021973;0.862595;0.236641;-0.473282
46;90194;0.059570;0.171875;1.026367;0.938931;0.198473;-0.969466
47;92218;0.056641;0.182617;1.014160;1.022901;0.282443;-0.679389
48;93957;0.046875;0.177246;1.023438;1.152672;0.152672;-0.633588
49;96205;0.058594;0.180664;1.012207;1.229008;0.129771;-0.595420
50;97961;0.064453;0.170410;1.013672;0.839695;0.114504;-0.664122
51;100056;0.055664;0.177734;1.015137;1.175573;0.206107;-0.725191
52;101800;0.056152;0.177734;1.024902;1.198473;0.251908;-0.526718
53;103810;0.050781;0.177246;1.027832;0.679389;0.412214;-0.603053
54;105577;0.054199;0.175293;1.009766;0.900763;0.068702;-0.435115
55;107694;0.052734;0.174805;1.015625;0.770992;-0.114504;-0.404580
56;109429;0.056641;0.175781;1.005371;0.900763;-0.007634;-0.748092
57;111451;0.064941;0.178223;1.018555;0.786260;-0.152672;-0.572519
58;113185;0.057617;0.176758;1.008789;0.778626;-0.198473;-0.442748
59;115371;0.058105;0.179199;1.006836;0.854962;-0.076336;-0.305344
60;117111;0.059570;0.175781;1.017090;0.625954;-0.198473;-0.595420
61;119186;0.058105;0.168945;1.038086;0.259542;-0.175573;-0.610687
62;120920;0.062988;0.167480;1.024414;0.633588;-0.152672;-0.511450
63;122942;0.061523;0.174805;1.018555;-0.038168;-0.015267;-0.526718
64;124685;0.058105;0.166992;1.025879;0.290076;-0.022901;-0.488550
65;126773;0.064453;0.173340;1.005859;0.328244;-0.038168;-0.320611
66;128524;0.065430;0.174316;1.009277;-0.099237;0.183206;-0.580153
67;130557;0.062500;0.166016;1.003906;0.045802;0.358779;-0.465649
68;132292;0.062012;0.167969;1.024414;-0.488550;0.068702;-0.496183
69;134311;0.059570;0.164062;1.007812;-0.534351;0.244275;-0.076336
70;136055;0.062988;0.171875;1.016602;-0.969466;0.458015;-0.343511
71;138319;0.057617;0.163574;1.008789;-1.061069;0.557252;-0.404580
72;140055;0.071777;0.166504;1.017578;-0.885496;0.748092;-0.496183
73;142077;0.070801;0.162598;1.018555;-1.122137;0.503817;-0.519084
74;143896;0.060059;0.166016;1.018555;-1.015267;0.587786;-0.427481
75;146143;0.064453;0.165039;1.014648;-1.129771;0.564885;-0.412214
76;147880;0.070312;0.170410;1.007324;-1.167939;0.893130;-0.671756
77;149906;0.064453;0.159180;1.017578;-1.221374;0.725191;-0.511450
78;151640;0.062500;0.156250;1.017578;-0.977099;0.519084;-0.511450
79;153657;0.064941;0.165527;1.022461;-0.679389;0.801527;-0.534351
80;155619;0.060059;0.162109;1.024414;-0.404580;0.801527;-0.618321
81;157754;0.068359;0.167969;1.021484;-0.404580;0.709924;-0.625954
82;159473;0.065918;0.167969;1.006348;-0.396947;0.564885;-0.793893
83;161470;0.063965;0.166016;1.009766;-0.129771;0.557252;-0.748092
84;163191;0.064453;0.169922;1.022949;0.519084;0.412214;-0.328244
85;165257;0.061523;0.166016;1.020020;0.541985;0.526718;-0.709924
86;167003;0.064453;0.162598;1.026367;0.244275;0.274809;-0.641221
87;169088;0.067871;0.159668;1.014160;0.534351;0.282443;-0.755725
88;170831;0.067871;0.165039;1.025391;0.748092;-0.061069;-0.541985
89;172849;0.061035;0.174316;1.011230;0.694656;-0.007634;-0.625954
90;174595;0.063965;0.164062;1.006836;0.748092;-0.213740;-0.458015
91;176733;0.063965;0.171875;1.024414;0.748092;-0.137405;-0.625954
92;178476;0.071777;0.166504;1.007324;0.832061;-0.160305;-0.610687
93;180520;0.069336;0.161133;1.016602;0.900763;-0.030534;-0.427481
94;182261;0.058594;0.167969;1.017578;1.152672;-0.328244;-0.557252
95;184523;0.069824;0.163574;1.039062;1.427481;-0.290076;-0.267176
96;186362;0.064453;0.171875;1.034180;1.564885;-0.374046;-0.541985
97;188404;0.055176;0.175781;1.013184;1.694656;-0.343511;-0.763359
98;190144;0.061035;0.166504;1.016113;1.709924;-0.045802;-0.603053
99;192194;0.064453;0.167480;1.011719;2.175573;-0.274809;-0.549618
100;193977;0.054688;0.165527;1.018066;2.160305;-0.351145;-0.610687
101;196170;0.062012;0.167480;1.009766;2.167939;-0.351145;-0.488550
102;197893;0.051270;0.167969;1.014648;2.435115;-0.122137;-0.572519
103;199959;0.052734;0.160156;1.011230;2.610687;-0.358779;-0.610687
104;201684;0.061523;0.172852;1.018555;2.694656;-0.297710;-0.648855
105;203747;0.062988;0.172363;1.022949;2.946565;-0.389313;-0.702290
106;205558;0.062500;0.168945;1.014648;2.748092;-0.389313;-0.664122
107;207601;0.066895;0.169922;1.018555;3.213740;-0.167939;-0.687023
108;209347;0.053223;0.172363;1.006836;3.312977;-0.618321;-0.755725
109;211376;0.057129;0.169434;1.022949;3.091603;-0.534351;-0.755725
110;213114;0.057129;0.174805;1.023926;3.511450;-0.511450;-0.702290
111;215239;0.067383;0.177246;1.002930;3.442748;-0.541985;-0.839695
112;216987;0.063965;0.167480;1.012695;3.580153;-0.396947;-0.427481
113;219033;0.054688;0.168457;1.008789;4.076336;-0.625954;-0.702290
114;220775;0.065918;0.176758;1.010254;3.832061;-0.534351;-0.694656
115;222841;0.052734;0.171875;1.019531;3.717557;-0.770992;-0.610687
116;224595;0.057617;0.169922;1.021973;3.702290;-0.709924;-0.702290
117;226627;0.057129;0.168945;1.014648;3.671756;-0.854962;-0.656489
118;228365;0.058105;0.176270;1.016602;3.572519;-0.900763;-0.633588
119;230458;0.050293;0.182617;1.023438;2.984733;-0.893130;-0.496183
120;232214;0.059082;0.174316;1.015625;2.625954;-0.648855;-0.717557
