##########
# 2016-11-22 10:03:17.885183732 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 36
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
0;1733;-0.060059;0.542969;0.866211;-4.259542;-0.068702;-1.809160
1;3465;-0.050781;0.553223;0.857422;-4.916031;0.229008;-2.984733
2;5507;-0.041992;0.552246;0.858398;-5.877863;0.839695;-3.015267
3;7234;-0.053223;0.555664;0.863770;-6.229008;1.702290;-2.305344
4;9523;-0.065430;0.557129;0.856445;-7.137405;2.809160;-2.038168
5;11695;-0.059082;0.553223;0.860352;-7.832061;3.687023;-3.167939
6;13755;-0.056152;0.559082;0.865234;-7.183206;3.687023;-2.770992
7;15498;-0.057129;0.553711;0.876953;-6.664122;3.717557;-2.625954
8;17646;-0.062500;0.549805;0.871582;-6.526718;3.938931;-2.389313
9;19393;-0.054688;0.548828;0.875000;-5.908397;4.053435;-2.587786
10;21575;-0.064941;0.546875;0.881348;-4.755725;3.274809;-2.503817
11;23317;-0.064453;0.556641;0.866699;-3.709924;2.519084;-2.328244
12;25345;-0.061523;0.550781;0.875977;-2.625954;1.984733;-2.618321
13;27081;-0.065918;0.551758;0.885254;-1.870229;1.641221;-2.870229
14;29256;-0.053223;0.556152;0.889160;-0.816794;0.793893;-2.671756
15;31014;-0.064941;0.560059;0.867188;-0.106870;0.671756;-2.801527
16;33055;-0.061035;0.545410;0.871582;0.931298;0.480916;-2.709924
17;34785;-0.057129;0.556152;0.886230;1.381679;0.435115;-2.862595
18;36796;-0.062500;0.553223;0.864258;2.053435;0.366412;-3.213740
19;38535;-0.066895;0.553711;0.872559;2.587786;0.458015;-3.702290
20;40679;-0.056152;0.550781;0.871094;3.335878;0.633588;-4.419847
21;42418;-0.058594;0.556152;0.860840;4.122137;1.007634;-4.396947
22;44432;-0.053223;0.558105;0.875000;4.656489;1.183206;-4.412214
23;46166;-0.054688;0.560059;0.876953;5.007634;1.290076;-4.328244
24;48422;-0.058105;0.563965;0.869141;6.221374;1.618321;-4.358779
25;50187;-0.052734;0.564941;0.855469;6.870229;1.465649;-4.045802
26;52213;-0.062500;0.553711;0.878418;7.587786;0.977099;-3.931298
27;53970;-0.070312;0.552734;0.873047;8.358779;0.282443;-4.343511
28;56078;-0.062012;0.559570;0.885254;8.992366;-0.557252;-4.740458
29;57813;-0.063477;0.545898;0.867188;9.732824;-1.206107;-4.206107
30;59972;-0.069336;0.551758;0.860840;10.870229;-2.007634;-4.106870
31;62038;-0.063965;0.549805;0.864746;11.549618;-2.923664;-3.709924
32;63777;-0.069336;0.557617;0.866211;11.862595;-3.160305;-3.389313
