##########
# 2017-02-15 16:52:35.270972286 +0100 CET Data Acquisition
# Acquisition name: i001
# Acquisition num: 9
# Accelerometer full scale: 8 (4096)
# Gyroscope full scale: 250 (131)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;0.018066;-0.288574;-0.965332;0.816794;-0.152672;-0.992366;0
2;2468;0.018555;-0.288086;-0.950195;0.839695;-0.129771;-0.854962;0
3;4437;0.018066;-0.281738;-0.958984;0.625954;-0.221374;-1.000000;0
4;6902;0.014648;-0.284668;-0.948730;0.854962;-0.099237;-0.770992;0
5;8870;0.023926;-0.288574;-0.964844;1.312977;-0.099237;-0.916031;0
6;11334;0.024414;-0.288086;-0.947266;0.969466;0.076336;-1.000000;0
7;13300;0.021484;-0.284668;-0.953125;0.748092;-0.137405;-1.091603;0
8;15760;0.016602;-0.290039;-0.943848;1.030534;-0.083969;-1.030534;0
9;17761;0.018066;-0.279785;-0.958496;1.045802;-0.053435;-1.145038;0
10;20291;0.018066;-0.276367;-0.949707;0.770992;-0.030534;-0.916031;0
11;22260;0.025391;-0.280273;-0.943359;0.961832;-0.358779;-0.969466;0
12;24744;0.018066;-0.279297;-0.953125;0.862595;-0.053435;-0.969466;0
13;26715;0.015137;-0.278320;-0.947754;0.961832;-0.198473;-1.167939;0
14;29187;0.020996;-0.287598;-0.958984;1.022901;-0.267176;-1.198473;0
15;31155;0.010742;-0.283691;-0.949707;1.045802;-0.045802;-0.984733;0
16;33622;0.012207;-0.283691;-0.960449;1.083969;-0.305344;-1.129771;0
17;35589;0.015137;-0.291016;-0.956543;0.984733;-0.045802;-1.000000;0
18;38065;0.014648;-0.283691;-0.953125;1.007634;-0.106870;-1.312977;0
19;40034;0.014160;-0.289062;-0.940430;0.916031;-0.206107;-0.992366;0
20;42495;0.023438;-0.279785;-0.952637;1.076336;0.213740;-1.061069;0
21;44463;0.019043;-0.286621;-0.954590;1.091603;-0.343511;-1.030534;0
22;46926;0.023438;-0.284180;-0.954102;1.190840;-0.083969;-0.786260;0
