num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s);p
1;0;1.001465;0.091797;-0.058594;1.097561;0.000000;-0.853659;0
2;1690;0.998047;0.092285;-0.068848;1.036585;0.091463;-0.914634;0
3;3404;1.008789;0.084961;-0.071777;1.097561;-0.060976;-0.884146;0
4;5099;1.011719;0.087891;-0.076172;1.128049;-0.213415;-1.310976;0
5;6794;0.991211;0.082520;-0.061035;0.884146;0.121951;-1.097561;0
6;8485;1.005371;0.085938;-0.075195;1.128049;-0.060976;-0.853659;0
7;10176;1.008789;0.088379;-0.069824;1.128049;0.152439;-0.975610;0
8;11868;1.002930;0.086426;-0.070801;1.036585;-0.121951;-0.884146;0
9;13562;1.005859;0.094238;-0.076660;1.036585;-0.243902;-0.975610;0
10;15254;0.999023;0.089844;-0.063477;1.067073;0.152439;-0.792683;0
11;16946;1.000000;0.082520;-0.064941;1.067073;0.274390;-1.097561;0
12;18638;1.003418;0.083984;-0.073730;0.884146;0.091463;-1.036585;0
13;20330;1.008789;0.090332;-0.066895;1.128049;-0.304878;-1.067073;0
14;22024;0.996582;0.084961;-0.062012;1.006098;0.000000;-0.975610;0
15;23719;1.002441;0.089844;-0.086426;1.097561;0.213415;-1.006098;0
16;25411;1.000000;0.085938;-0.083008;1.006098;0.060976;-0.975610;0
17;27104;1.007324;0.078613;-0.075195;0.792683;0.121951;-0.945122;0
18;28803;1.008301;0.090820;-0.067871;1.067073;-0.243902;-1.067073;0
19;30499;1.001953;0.083008;-0.079590;1.097561;-0.121951;-0.731707;0
20;32192;1.008301;0.090332;-0.081055;1.219512;0.213415;-0.853659;0
21;33885;1.001465;0.085938;-0.069336;0.945122;0.152439;-0.975610;0
22;35575;0.994629;0.083984;-0.067871;1.036585;0.335366;-1.097561;0
23;37268;0.999023;0.081055;-0.062988;1.158537;-0.060976;-0.792683;0
24;38963;1.008789;0.089844;-0.068848;1.158537;-0.121951;-1.036585;0
25;40655;1.000000;0.090332;-0.073242;0.884146;0.365854;-0.914634;0
26;42346;0.997070;0.081055;-0.068359;1.006098;0.091463;-0.792683;0
27;44037;1.005859;0.087402;-0.088867;1.036585;0.091463;-0.914634;0
28;45727;1.006836;0.084961;-0.068848;1.128049;0.121951;-1.006098;0
29;47423;1.009277;0.086426;-0.084961;1.036585;0.091463;-0.823171;0
30;49116;1.000488;0.078613;-0.073730;1.067073;-0.091463;-0.731707;0
31;50811;0.996094;0.079590;-0.073730;1.067073;0.121951;-0.914634;0
32;52503;0.997559;0.085449;-0.071289;0.975610;0.152439;-0.884146;0
33;54193;1.004883;0.095215;-0.069336;0.945122;0.030488;-1.067073;0
34;55888;1.015137;0.079590;-0.068359;1.250000;-0.182927;-1.158537;0
35;57583;0.992676;0.081543;-0.072754;0.945122;0.121951;-0.975610;0
36;59278;0.998535;0.081055;-0.074707;0.792683;0.518293;-0.640244;0
37;60970;1.002930;0.084473;-0.068848;0.914634;0.152439;-0.914634;0
38;62659;1.009766;0.087891;-0.066406;1.067073;-0.152439;-0.823171;0
39;64354;1.013672;0.090332;-0.075684;1.036585;-0.152439;-0.914634;0
40;66047;1.006836;0.086426;-0.072266;1.158537;0.182927;-0.823171;0
41;67739;1.004883;0.087402;-0.073242;1.006098;0.396341;-0.640244;0
42;69433;0.995605;0.097168;-0.077637;1.097561;0.213415;-1.097561;0
43;71122;1.010254;0.084473;-0.076660;1.097561;-0.396341;-1.097561;0
44;72817;1.005859;0.083008;-0.061035;0.975610;-0.091463;-0.945122;0
45;74509;1.007812;0.083984;-0.075195;1.280488;0.000000;-0.823171;0
46;76201;0.998047;0.087891;-0.074219;1.250000;0.457317;-0.640244;0
47;77897;1.007324;0.086426;-0.082520;0.914634;0.060976;-0.884146;0
48;79589;1.008789;0.078613;-0.064941;0.914634;-0.121951;-1.158537;0
49;81282;1.005371;0.083008;-0.059570;1.189024;0.000000;-1.097561;0
50;82982;1.001465;0.088867;-0.077148;1.006098;0.091463;-0.579268;0
51;84674;0.997559;0.089355;-0.080566;1.067073;0.091463;-0.914634;0
52;86365;1.007324;0.088379;-0.077148;0.945122;-0.060976;-1.097561;0
53;88114;1.013672;0.091797;-0.069336;1.219512;-0.121951;-1.006098;0
54;89849;1.010254;0.082520;-0.070801;1.341463;-0.030488;-0.853659;0
55;91591;0.994629;0.092285;-0.051758;1.036585;0.182927;-0.792683;0
56;93294;0.997559;0.084961;-0.071777;0.853659;0.091463;-1.036585;0
57;94993;1.008789;0.087402;-0.085449;1.097561;-0.060976;-1.158537;0
58;96690;1.005859;0.082520;-0.065430;1.250000;-0.182927;-1.189024;0
59;98379;1.000000;0.088867;-0.065430;1.189024;0.182927;-0.823171;0
60;100069;0.989746;0.092773;-0.069824;0.945122;0.274390;-0.823171;0
61;101753;1.014160;0.086426;-0.085449;0.914634;0.121951;-1.036585;0
62;103440;1.013184;0.088867;-0.073242;1.067073;-0.213415;-0.853659;0
63;105125;1.001465;0.092285;-0.067871;1.067073;0.060976;-0.762195;0
64;106893;0.996582;0.085449;-0.065918;1.189024;0.274390;-0.670732;0
65;108595;1.002930;0.081543;-0.066895;0.975610;0.091463;-1.219512;0
66;110289;1.005371;0.086426;-0.074707;1.189024;0.091463;-1.067073;0
67;111980;1.004395;0.083984;-0.067383;1.310976;-0.121951;-0.701220;0
68;113671;0.999512;0.101562;-0.063965;1.341463;-0.274390;-0.823171;0
69;115364;1.005859;0.091309;-0.077637;1.006098;-0.121951;-0.914634;0
70;117060;1.006836;0.084473;-0.074707;1.097561;0.030488;-1.128049;0
71;118752;1.003906;0.078613;-0.077148;1.097561;-0.060976;-0.731707;0
72;120442;1.006348;0.101074;-0.061523;1.219512;0.030488;-0.975610;0
73;122147;1.005371;0.094238;-0.073730;1.219512;0.060976;-0.945122;0
74;123841;1.008301;0.082520;-0.075684;1.097561;0.335366;-0.975610;0
75;125534;1.005371;0.077637;-0.062500;1.006098;0.060976;-1.250000;0
76;127227;1.004395;0.086426;-0.065430;1.432927;-0.030488;-0.914634;0
77;128921;1.008789;0.094727;-0.065918;1.097561;-0.091463;-0.884146;0
78;130615;1.015137;0.098145;-0.079102;1.097561;-0.152439;-1.158537;0
79;132309;1.003906;0.083008;-0.084473;0.884146;0.182927;-1.006098;0
80;134004;0.987305;0.072754;-0.071289;1.158537;0.152439;-1.036585;0
81;135696;0.999023;0.087891;-0.079590;1.402439;0.274390;-0.731707;0
82;137388;1.004395;0.098145;-0.077148;1.189024;-0.121951;-0.884146;0
83;139080;1.016602;0.084473;-0.063965;0.853659;-0.030488;-0.884146;0
84;140774;0.994629;0.075684;-0.059082;0.975610;0.091463;-0.853659;0
85;142465;0.991211;0.088867;-0.075684;1.067073;0.243902;-0.914634;0
86;144157;1.004883;0.099609;-0.061523;1.371951;0.091463;-0.884146;0
87;145846;1.019043;0.091797;-0.068848;0.853659;0.091463;-0.914634;0
88;147558;1.003418;0.083008;-0.070801;0.853659;0.000000;-1.036585;0
89;149251;0.992188;0.071777;-0.056152;1.158537;0.335366;-1.067073;0
90;150942;1.004883;0.076660;-0.058594;1.006098;0.152439;-0.945122;0
91;152636;1.016602;0.088867;-0.075195;1.036585;0.060976;-1.250000;0
92;154327;1.007324;0.083984;-0.067383;1.067073;-0.243902;-0.975610;0
93;156019;1.006348;0.080078;-0.080566;1.097561;0.152439;-0.823171;0
94;157714;0.992676;0.090332;-0.082520;0.975610;0.152439;-0.884146;0
95;159406;1.003906;0.087402;-0.094238;1.097561;0.000000;-0.792683;0
96;161100;1.008789;0.087402;-0.070801;1.006098;-0.182927;-1.006098;0
